tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P
5003852,21600.0,21725.0,21756.0,21782.0,21801.0,21823.0,21852.0,21888.0,21928.0,21948.0,22008.0,22047.0,22094.0,22125.0,22184.0,22218.0,22273.0,22293.0,22333.0,22367.0,22403.0,22467.0,22531.0,22585.0,22629.0,22658.0,22714.0,22753.0,22816.0,22907.0,22965.0,23037.0,23100.0,23150.0,23209.0,23263.0,23296.0,23372.0,23436.0,23481.0,23574.0,23703.0,23815.0,23952.0,24066.0,24167.0,24224.0,24290.0,24332.0,24365.0,24402.0,24426.0,24511.0,24531.0,24556.0,24609.0,24662.0,24681.0,24711.0,24756.0,24784.0,24800.0,24842.0,24872.0,24898.0,24925.0,24940.0,24987.0,25009.0,25029.0,25050.0,25083.0,25109.0,25131.0,25185.0,25218.0,25241.0,25388.0,25431.0,25462.0,25475.0,25527.0,25598.0
5003854,36000.0,36147.0,36185.0,36218.0,36242.0,36269.0,36305.0,36349.0,36399.0,36423.0,36492.0,36537.0,36591.0,36627.0,36695.0,36735.0,36799.0,36822.0,36878.0,36925.0,36976.0,37051.0,37165.0,37236.0,37294.0,37332.0,37387.0,37426.0,37493.0,37605.0,37677.0,37765.0,37835.0,37895.0,37967.0,38040.0,38084.0,38184.0,38268.0,38330.0,38466.0,38678.0,38863.0,39088.0,39261.0,39395.0,39460.0,39535.0,39578.0,39611.0,39648.0,39677.0,39783.0,39818.0,39863.0,39931.0,39986.0,40010.0,40047.0,40104.0,40139.0,40160.0,40213.0,40251.0,40283.0,40317.0,40337.0,40401.0,40431.0,40459.0,40487.0,40532.0,40567.0,40597.0,40671.0,40716.0,40746.0,40943.0,41004.0,41047.0,41065.0,41137.0,41213.0
5003856,49320.0,49486.0,49525.0,49559.0,49584.0,49612.0,49649.0,49694.0,49745.0,49769.0,49839.0,49885.0,49940.0,49977.0,50047.0,50088.0,50153.0,50176.0,50229.0,50274.0,50323.0,50403.0,50546.0,50623.0,50686.0,50728.0,50782.0,50820.0,50894.0,51011.0,51086.0,51178.0,51252.0,51310.0,51378.0,51454.0,51500.0,51598.0,51680.0,51739.0,51861.0,52079.0,52269.0,52500.0,52704.0,52845.0,52909.0,52982.0,53028.0,53063.0,53103.0,53134.0,53246.0,53284.0,53333.0,53395.0,53463.0,53488.0,53527.0,53586.0,53626.0,53650.0,53711.0,53755.0,53793.0,53832.0,53856.0,53924.0,53956.0,53986.0,54016.0,54064.0,54102.0,54134.0,54213.0,54261.0,54291.0,54540.0,54598.0,54640.0,54657.0,54727.0,54799.0
5003858,69300.0,69444.0,69480.0,69511.0,69534.0,69559.0,69593.0,69634.0,69680.0,69701.0,69763.0,69803.0,69851.0,69884.0,69945.0,69981.0,70038.0,70057.0,70100.0,70137.0,70177.0,70243.0,70336.0,70399.0,70451.0,70485.0,70533.0,70567.0,70630.0,70719.0,70776.0,70846.0,70910.0,70955.0,71008.0,71069.0,71106.0,71189.0,71259.0,71310.0,71403.0,71591.0,71755.0,71954.0,72131.0,72246.0,72304.0,72371.0,72416.0,72451.0,72491.0,72519.0,72619.0,72645.0,72679.0,72734.0,72791.0,72816.0,72855.0,72915.0,72951.0,72972.0,73026.0,73065.0,73098.0,73133.0,73155.0,73213.0,73240.0,73265.0,73290.0,73330.0,73362.0,73389.0,73455.0,73496.0,73523.0,73663.0,73709.0,73742.0,73756.0,73811.0,73868.0
5004127,22800.0,22925.0,22956.0,22982.0,23001.0,23023.0,23052.0,23088.0,23128.0,23148.0,23208.0,23247.0,23294.0,23325.0,23384.0,23418.0,23473.0,23493.0,23533.0,23567.0,23603.0,23667.0,23731.0,23785.0,23829.0,23858.0,23914.0,23953.0,24016.0,24107.0,24165.0,24237.0,24300.0,24350.0,24409.0,24463.0,24496.0,24572.0,24636.0,24681.0,24774.0,24903.0,25015.0,25152.0,25266.0,25367.0,25424.0,25490.0,25532.0,25565.0,25602.0,25626.0,25711.0,25731.0,25756.0,25809.0,25862.0,25881.0,25911.0,25956.0,25984.0,26000.0,26042.0,26072.0,26098.0,26125.0,26140.0,26187.0,26209.0,26229.0,26250.0,26283.0,26309.0,26331.0,26385.0,26418.0,26441.0,26588.0,26631.0,26662.0,26675.0,26727.0,26798.0
5004129,37200.0,37347.0,37385.0,37418.0,37442.0,37469.0,37505.0,37549.0,37599.0,37623.0,37692.0,37737.0,37791.0,37827.0,37895.0,37935.0,37999.0,38022.0,38078.0,38125.0,38176.0,38251.0,38365.0,38436.0,38494.0,38532.0,38587.0,38626.0,38693.0,38805.0,38877.0,38965.0,39035.0,39095.0,39167.0,39240.0,39284.0,39384.0,39468.0,39530.0,39666.0,39878.0,40063.0,40288.0,40461.0,40595.0,40660.0,40735.0,40778.0,40811.0,40848.0,40877.0,40983.0,41018.0,41063.0,41131.0,41186.0,41210.0,41247.0,41304.0,41339.0,41360.0,41413.0,41451.0,41483.0,41517.0,41537.0,41601.0,41631.0,41659.0,41687.0,41732.0,41767.0,41797.0,41871.0,41916.0,41946.0,42143.0,42204.0,42247.0,42265.0,42337.0,42413.0
5004131,51480.0,51646.0,51685.0,51719.0,51744.0,51772.0,51809.0,51854.0,51905.0,51929.0,51999.0,52045.0,52100.0,52137.0,52207.0,52248.0,52313.0,52336.0,52389.0,52434.0,52483.0,52563.0,52706.0,52783.0,52846.0,52888.0,52942.0,52980.0,53054.0,53171.0,53246.0,53338.0,53412.0,53470.0,53538.0,53614.0,53660.0,53758.0,53840.0,53899.0,54021.0,54239.0,54429.0,54660.0,54864.0,55005.0,55069.0,55142.0,55188.0,55223.0,55263.0,55294.0,55406.0,55444.0,55493.0,55555.0,55623.0,55648.0,55687.0,55746.0,55786.0,55810.0,55871.0,55915.0,55953.0,55992.0,56016.0,56084.0,56116.0,56146.0,56176.0,56224.0,56262.0,56294.0,56373.0,56421.0,56451.0,56700.0,56758.0,56800.0,56817.0,56887.0,56959.0
5004133,66300.0,66444.0,66480.0,66511.0,66534.0,66559.0,66593.0,66634.0,66680.0,66701.0,66763.0,66803.0,66851.0,66884.0,66945.0,66981.0,67038.0,67057.0,67100.0,67137.0,67177.0,67243.0,67336.0,67399.0,67451.0,67485.0,67533.0,67567.0,67630.0,67719.0,67776.0,67846.0,67910.0,67955.0,68008.0,68069.0,68106.0,68189.0,68259.0,68310.0,68403.0,68591.0,68755.0,68954.0,69131.0,69246.0,69304.0,69371.0,69416.0,69451.0,69491.0,69519.0,69619.0,69645.0,69679.0,69734.0,69791.0,69816.0,69855.0,69915.0,69951.0,69972.0,70026.0,70065.0,70098.0,70133.0,70155.0,70213.0,70240.0,70265.0,70290.0,70330.0,70362.0,70389.0,70455.0,70496.0,70523.0,70663.0,70709.0,70742.0,70756.0,70811.0,70868.0
5006126,31800.0,31967.0,32006.0,32040.0,32065.0,32093.0,32130.0,32175.0,32226.0,32251.0,32324.0,32372.0,32429.0,32468.0,32540.0,32582.0,32650.0,32673.0,32726.0,32771.0,32820.0,32896.0,33013.0,33088.0,33149.0,33190.0,33249.0,33290.0,33371.0,33481.0,33552.0,33639.0,33721.0,33794.0,33881.0,33953.0,33997.0,34115.0,34214.0,34286.0,34459.0,34664.0,34843.0,35062.0,35219.0,35358.0,35417.0,35484.0,35526.0,35558.0,35595.0,35623.0,35726.0,35756.0,35794.0,35853.0,35903.0,35922.0,35951.0,35996.0,36031.0,36052.0,36105.0,36143.0,36175.0,36209.0,36229.0,36289.0,36317.0,36343.0,36369.0,36411.0,36444.0,36473.0,36543.0,36586.0,36614.0,36796.0,36852.0,36892.0,36908.0,36975.0,37046.0
5006128,45000.0,45166.0,45205.0,45239.0,45264.0,45292.0,45329.0,45374.0,45425.0,45449.0,45519.0,45565.0,45620.0,45657.0,45727.0,45768.0,45833.0,45856.0,45909.0,45954.0,46003.0,46083.0,46226.0,46303.0,46366.0,46408.0,46462.0,46500.0,46574.0,46691.0,46766.0,46858.0,46932.0,46990.0,47058.0,47134.0,47180.0,47278.0,47360.0,47419.0,47541.0,47759.0,47949.0,48180.0,48384.0,48525.0,48589.0,48662.0,48708.0,48743.0,48783.0,48814.0,48926.0,48964.0,49013.0,49075.0,49143.0,49168.0,49207.0,49266.0,49306.0,49330.0,49391.0,49435.0,49473.0,49512.0,49536.0,49604.0,49636.0,49666.0,49696.0,49744.0,49782.0,49814.0,49893.0,49941.0,49971.0,50220.0,50278.0,50320.0,50337.0,50407.0,50479.0
