tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P
5085265,57600.0,57652.0,57674.0,57696.0,57726.0,57751.0,57780.0,57802.0,57841.0,57877.0,57907.0,57940.0,57977.0,58016.0,58029.0,58051.0,58099.0,58133.0,58171.0,58270.0,58299.0,58322.0,58344.0,58360.0,58382.0,58407.0,58452.0,58489.0,58578.0,58633.0,58694.0,58724.0,58751.0,58794.0,58843.0,58875.0,58956.0,58995.0,59046.0,59062.0,59098.0,59119.0,59172.0,59228.0,59264.0,59297.0,59325.0,59343.0,59376.0,59427.0,59471.0,59507.0,59535.0,59563.0,59596.0,59619.0,59637.0,59696.0,59753.0,59787.0,59831.0,59862.0,59913.0,59947.0,59997.0,60102.0,60145.0,60180.0,60216.0,60251.0,60301.0,60327.0,60477.0,60566.0
5085269,73500.0,73535.0,73566.0,73597.0,73623.0,73644.0,73669.0,73688.0,73721.0,73752.0,73780.0,73804.0,73831.0,73859.0,73869.0,73885.0,73919.0,73941.0,73966.0,74030.0,74053.0,74072.0,74090.0,74103.0,74121.0,74141.0,74176.0,74200.0,74257.0,74292.0,74332.0,74355.0,74377.0,74412.0,74452.0,74477.0,74535.0,74573.0,74623.0,74642.0,74684.0,74700.0,74738.0,74770.0,74791.0,74814.0,74833.0,74846.0,74869.0,74904.0,74934.0,74959.0,74979.0,74999.0,75022.0,75045.0,75062.0,75111.0,75157.0,75184.0,75221.0,75248.0,75296.0,75329.0,75365.0,75439.0,75478.0,75510.0,75544.0,75578.0,75611.0,75629.0,75722.0,75778.0
5086430,53700.0,53737.0,53761.0,53784.0,53811.0,53833.0,53858.0,53878.0,53912.0,53944.0,53972.0,53997.0,54025.0,54055.0,54065.0,54082.0,54118.0,54142.0,54169.0,54238.0,54262.0,54281.0,54300.0,54313.0,54332.0,54353.0,54390.0,54412.0,54466.0,54499.0,54536.0,54564.0,54589.0,54622.0,54678.0,54713.0,54884.0,54923.0,54975.0,54993.0,55033.0,55055.0,55110.0,55144.0,55165.0,55185.0,55202.0,55212.0,55241.0,55286.0,55325.0,55357.0,55382.0,55407.0,55435.0,55462.0,55482.0,55555.0,55595.0,55619.0,55657.0,55685.0,55739.0,55775.0,55820.0,55915.0,55972.0,56019.0,56053.0,56086.0,56124.0,56144.0,56261.0,56330.0
5091710,67200.0,67234.0,67254.0,67274.0,67297.0,67316.0,67338.0,67355.0,67385.0,67413.0,67437.0,67459.0,67484.0,67510.0,67519.0,67533.0,67563.0,67583.0,67606.0,67666.0,67689.0,67708.0,67726.0,67739.0,67757.0,67777.0,67812.0,67836.0,67895.0,67932.0,67974.0,67997.0,68019.0,68052.0,68090.0,68115.0,68214.0,68256.0,68311.0,68327.0,68363.0,68389.0,68451.0,68487.0,68510.0,68534.0,68554.0,68566.0,68589.0,68625.0,68656.0,68681.0,68701.0,68721.0,68746.0,68767.0,68783.0,68857.0,68892.0,68912.0,68942.0,68964.0,69013.0,69046.0,69091.0,69183.0,69222.0,69255.0,69288.0,69320.0,69352.0,69369.0,69484.0,69552.0
5094210,43200.0,43253.0,43282.0,43310.0,43338.0,43361.0,43388.0,43409.0,43445.0,43479.0,43508.0,43535.0,43566.0,43598.0,43609.0,43627.0,43668.0,43695.0,43726.0,43806.0,43831.0,43851.0,43871.0,43885.0,43905.0,43927.0,43966.0,43991.0,44053.0,44091.0,44134.0,44161.0,44186.0,44222.0,44276.0,44310.0,44429.0,44470.0,44523.0,44539.0,44575.0,44599.0,44658.0,44702.0,44731.0,44760.0,44784.0,44800.0,44835.0,44890.0,44937.0,44976.0,45003.0,45030.0,45061.0,45091.0,45114.0,45174.0,45230.0,45263.0,45315.0,45352.0,45412.0,45452.0,45495.0,45583.0,45632.0,45673.0,45717.0,45761.0,45807.0,45832.0,45960.0,46036.0
5094841,59400.0,59485.0,59532.0,59579.0,59609.0,59634.0,59663.0,59686.0,59725.0,59762.0,59794.0,59833.0,59877.0,59923.0,59939.0,59965.0,60021.0,60054.0,60092.0,60190.0,60215.0,60235.0,60254.0,60268.0,60287.0,60309.0,60348.0,60423.0,60606.0,60719.0,60848.0,60876.0,60902.0,60939.0,60987.0,61017.0,61084.0,61121.0,61169.0,61185.0,61219.0,61244.0,61306.0,61338.0,61358.0,61374.0,61387.0,61396.0,61418.0,61452.0,61481.0,61505.0,61533.0,61561.0,61595.0,61618.0,61635.0,61690.0,61740.0,61770.0,61811.0,61841.0,61878.0,61903.0,61936.0,62004.0,62061.0,62109.0,62137.0,62164.0,62184.0,62195.0,62375.0,62482.0
5094874,31500.0,31546.0,31575.0,31604.0,31631.0,31653.0,31679.0,31699.0,31734.0,31766.0,31793.0,31821.0,31853.0,31886.0,31897.0,31916.0,31958.0,31983.0,32011.0,32085.0,32113.0,32135.0,32157.0,32172.0,32194.0,32218.0,32260.0,32293.0,32373.0,32422.0,32477.0,32501.0,32524.0,32556.0,32587.0,32607.0,32643.0,32694.0,32760.0,32779.0,32820.0,32849.0,32919.0,32951.0,32971.0,32996.0,33017.0,33030.0,33069.0,33129.0,33181.0,33225.0,33248.0,33271.0,33297.0,33341.0,33374.0,33423.0,33481.0,33515.0,33559.0,33590.0,33657.0,33702.0,33733.0,33798.0,33841.0,33877.0,33918.0,33959.0,34018.0,34050.0,34140.0,34194.0
5094876,38100.0,38148.0,38185.0,38221.0,38252.0,38277.0,38306.0,38329.0,38368.0,38405.0,38437.0,38464.0,38494.0,38525.0,38536.0,38554.0,38592.0,38625.0,38662.0,38759.0,38788.0,38811.0,38834.0,38850.0,38873.0,38898.0,38942.0,38972.0,39046.0,39092.0,39144.0,39179.0,39212.0,39250.0,39286.0,39309.0,39413.0,39448.0,39493.0,39512.0,39552.0,39568.0,39606.0,39646.0,39671.0,39694.0,39713.0,39726.0,39759.0,39810.0,39854.0,39891.0,39908.0,39925.0,39945.0,39971.0,39991.0,40060.0,40102.0,40127.0,40174.0,40207.0,40257.0,40290.0,40313.0,40360.0,40396.0,40425.0,40458.0,40490.0,40514.0,40527.0,40658.0,40736.0
5094878,46200.0,46251.0,46283.0,46314.0,46340.0,46362.0,46387.0,46406.0,46440.0,46472.0,46499.0,46522.0,46549.0,46577.0,46586.0,46602.0,46636.0,46665.0,46697.0,46781.0,46800.0,46816.0,46831.0,46841.0,46856.0,46873.0,46903.0,46929.0,46992.0,47031.0,47074.0,47098.0,47121.0,47153.0,47194.0,47220.0,47305.0,47352.0,47413.0,47435.0,47484.0,47508.0,47568.0,47625.0,47661.0,47680.0,47696.0,47707.0,47736.0,47781.0,47820.0,47851.0,47872.0,47893.0,47918.0,47954.0,47981.0,48011.0,48066.0,48099.0,48147.0,48182.0,48249.0,48295.0,48345.0,48449.0,48488.0,48521.0,48566.0,48610.0,48655.0,48679.0,48771.0,48826.0
5096157,37800.0,37838.0,37874.0,37909.0,37938.0,37962.0,37990.0,38011.0,38048.0,38083.0,38113.0,38138.0,38167.0,38197.0,38207.0,38224.0,38261.0,38286.0,38314.0,38388.0,38411.0,38430.0,38448.0,38461.0,38479.0,38500.0,38536.0,38559.0,38616.0,38651.0,38691.0,38718.0,38742.0,38780.0,38824.0,38852.0,38927.0,38961.0,39006.0,39024.0,39064.0,39092.0,39161.0,39204.0,39231.0,39263.0,39290.0,39307.0,39341.0,39393.0,39438.0,39475.0,39503.0,39531.0,39563.0,39595.0,39619.0,39683.0,39734.0,39765.0,39805.0,39834.0,39882.0,39915.0,39961.0,40057.0,40105.0,40145.0,40183.0,40220.0,40265.0,40289.0,40411.0,40483.0
