tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P
5089147,39600.0,39652.0,39694.0,39724.0,39775.0,39799.0,39907.0,39925.0,39977.0,40171.0,40324.0,40345.0,40415.0,40450.0,40507.0,40553.0,40580.0,40625.0,40645.0,40764.0,40798.0,40918.0,40939.0,41002.0,41043.0,41085.0,41113.0,41221.0,41282.0,41332.0,41357.0,41409.0,41432.0,41493.0,41512.0,41530.0,41620.0,41676.0,41731.0,41772.0,41859.0,41919.0,41958.0,42086.0,42128.0
5089149,46800.0,46849.0,46888.0,46916.0,46963.0,46985.0,47086.0,47103.0,47152.0,47337.0,47500.0,47521.0,47592.0,47628.0,47684.0,47729.0,47753.0,47794.0,47812.0,47920.0,47951.0,48061.0,48080.0,48138.0,48186.0,48246.0,48277.0,48373.0,48415.0,48450.0,48491.0,48539.0,48563.0,48617.0,48633.0,48648.0,48722.0,48758.0,48793.0,48819.0,48888.0,48935.0,48966.0,49067.0,49100.0
5089151,54000.0,54065.0,54117.0,54153.0,54216.0,54245.0,54378.0,54396.0,54448.0,54642.0,54796.0,54809.0,54901.0,54947.0,55018.0,55074.0,55105.0,55156.0,55179.0,55315.0,55354.0,55492.0,55516.0,55590.0,55647.0,55706.0,55751.0,55834.0,55881.0,55920.0,55944.0,55993.0,56017.0,56073.0,56091.0,56108.0,56191.0,56223.0,56254.0,56277.0,56352.0,56403.0,56437.0,56547.0,56583.0
5089153,61200.0,61252.0,61294.0,61323.0,61374.0,61398.0,61506.0,61526.0,61584.0,61800.0,61962.0,61975.0,62045.0,62081.0,62136.0,62179.0,62201.0,62238.0,62255.0,62355.0,62384.0,62485.0,62502.0,62556.0,62599.0,62649.0,62679.0,62783.0,62830.0,62868.0,62902.0,62957.0,62982.0,63041.0,63061.0,63080.0,63174.0,63210.0,63245.0,63271.0,63355.0,63413.0,63451.0,63575.0,63617.0
5089155,68400.0,68457.0,68503.0,68535.0,68590.0,68616.0,68731.0,68751.0,68810.0,69032.0,69196.0,69209.0,69263.0,69291.0,69360.0,69415.0,69445.0,69495.0,69518.0,69651.0,69689.0,69824.0,69847.0,69918.0,69986.0,70029.0,70070.0,70165.0,70209.0,70246.0,70308.0,70367.0,70391.0,70436.0,70456.0,70475.0,70571.0,70627.0,70682.0,70724.0,70791.0,70837.0,70867.0,70965.0,70998.0
5089157,75600.0,75647.0,75685.0,75712.0,75758.0,75779.0,75876.0,75894.0,75947.0,76145.0,76307.0,76320.0,76376.0,76405.0,76469.0,76519.0,76543.0,76583.0,76601.0,76708.0,76739.0,76848.0,76867.0,76925.0,76957.0,77004.0,77033.0,77093.0,77138.0,77176.0,77203.0,77254.0,77282.0,77343.0,77361.0,77378.0,77461.0,77496.0,77530.0,77555.0,77629.0,77680.0,77714.0,77823.0,77860.0
5089159,82800.0,82847.0,82885.0,82912.0,82958.0,82979.0,83076.0,83094.0,83147.0,83345.0,83507.0,83520.0,83576.0,83605.0,83669.0,83719.0,83743.0,83783.0,83801.0,83908.0,83939.0,84048.0,84067.0,84125.0,84157.0,84204.0,84233.0,84293.0,84338.0,84376.0,84403.0,84454.0,84482.0,84543.0,84561.0,84578.0,84661.0,84696.0,84730.0,84755.0,84829.0,84880.0,84914.0,85023.0,85060.0
5089416,23400.0,23448.0,23487.0,23514.0,23561.0,23583.0,23683.0,23705.0,23768.0,24004.0,24159.0,24175.0,24239.0,24271.0,24338.0,24391.0,24415.0,24454.0,24472.0,24577.0,24607.0,24713.0,24731.0,24788.0,24813.0,24856.0,24889.0,24968.0,25034.0,25088.0,25131.0,25187.0,25215.0,25259.0,25276.0,25292.0,25374.0,25419.0,25463.0,25497.0,25582.0,25641.0,25680.0,25805.0,25846.0
5089418,30600.0,30660.0,30708.0,30741.0,30799.0,30826.0,30948.0,30972.0,31042.0,31302.0,31464.0,31482.0,31545.0,31577.0,31644.0,31697.0,31726.0,31775.0,31797.0,31926.0,31963.0,32094.0,32117.0,32187.0,32313.0,32367.0,32406.0,32503.0,32587.0,32656.0,32711.0,32766.0,32790.0,32839.0,32856.0,32872.0,32952.0,33004.0,33055.0,33093.0,33180.0,33240.0,33279.0,33407.0,33449.0
5089420,39600.0,39654.0,39697.0,39727.0,39779.0,39803.0,39913.0,39932.0,39987.0,40194.0,40355.0,40373.0,40439.0,40473.0,40540.0,40593.0,40619.0,40663.0,40683.0,40801.0,40835.0,40954.0,40975.0,41039.0,41105.0,41157.0,41197.0,41279.0,41340.0,41390.0,41443.0,41499.0,41524.0,41572.0,41590.0,41607.0,41690.0,41743.0,41795.0,41834.0,41921.0,41981.0,42020.0,42147.0,42189.0
