tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
5013635,56400.0,56449.0,56483.0,56506.0,56549.0,56583.0,56649.0,56724.0,56767.0,56812.0,56842.0,56877.0,56922.0,56962.0,56992.0,57020.0,57081.0,57103.0,57128.0,57209.0,57288.0,57442.0,57513.0,57599.0,57619.0,57662.0,57686.0,57743.0,57786.0,57814.0,57841.0,57863.0,57877.0,57909.0,57958.0,58001.0,58036.0,58066.0,58096.0,58130.0,58162.0,58187.0,58247.0,58310.0,58347.0,58393.0,58426.0,58488.0,58530.0,58576.0,58671.0,58728.0,58775.0,58814.0,58852.0,58911.0,58942.0,59137.0,59253.0
5013637,64800.0,64858.0,64899.0,64924.0,64970.0,65004.0,65073.0,65135.0,65168.0,65204.0,65228.0,65256.0,65293.0,65331.0,65358.0,65383.0,65437.0,65459.0,65486.0,65565.0,65607.0,65690.0,65745.0,65812.0,65829.0,65867.0,65892.0,65953.0,65990.0,66014.0,66036.0,66054.0,66066.0,66092.0,66133.0,66168.0,66197.0,66220.0,66243.0,66269.0,66296.0,66317.0,66391.0,66449.0,66484.0,66531.0,66564.0,66640.0,66692.0,66733.0,66817.0,66858.0,66892.0,66929.0,66965.0,66998.0,67015.0,67156.0,67240.0
5013782,25200.0,25260.0,25301.0,25323.0,25363.0,25394.0,25459.0,25527.0,25560.0,25600.0,25627.0,25659.0,25701.0,25732.0,25757.0,25780.0,25829.0,25849.0,25871.0,25939.0,25964.0,26013.0,26063.0,26123.0,26144.0,26189.0,26215.0,26277.0,26322.0,26351.0,26386.0,26415.0,26433.0,26468.0,26522.0,26568.0,26606.0,26632.0,26658.0,26689.0,26728.0,26758.0,26822.0,26880.0,26915.0,26991.0,27046.0,27133.0,27192.0,27255.0,27386.0,27457.0,27516.0,27572.0,27628.0,27701.0,27740.0,27864.0,27938.0
5013784,32400.0,32444.0,32475.0,32497.0,32538.0,32569.0,32635.0,32727.0,32770.0,32822.0,32857.0,32898.0,32950.0,32991.0,33020.0,33046.0,33103.0,33125.0,33150.0,33252.0,33330.0,33482.0,33535.0,33598.0,33617.0,33659.0,33684.0,33744.0,33785.0,33811.0,33839.0,33862.0,33877.0,33909.0,33959.0,34002.0,34038.0,34063.0,34088.0,34117.0,34150.0,34175.0,34236.0,34289.0,34320.0,34375.0,34415.0,34475.0,34516.0,34568.0,34677.0,34739.0,34791.0,34851.0,34910.0,34969.0,35000.0,35112.0,35178.0
5013786,40200.0,40255.0,40294.0,40319.0,40365.0,40400.0,40470.0,40549.0,40608.0,40658.0,40692.0,40732.0,40783.0,40823.0,40851.0,40876.0,40932.0,40955.0,40983.0,41067.0,41118.0,41216.0,41296.0,41393.0,41413.0,41458.0,41488.0,41560.0,41617.0,41653.0,41693.0,41726.0,41747.0,41795.0,41870.0,41935.0,41988.0,42020.0,42052.0,42090.0,42134.0,42167.0,42236.0,42299.0,42337.0,42392.0,42431.0,42499.0,42545.0,42596.0,42702.0,42763.0,42814.0,42862.0,42910.0,42967.0,42998.0,43135.0,43217.0
5013788,47400.0,47452.0,47489.0,47512.0,47555.0,47588.0,47652.0,47731.0,47778.0,47821.0,47850.0,47884.0,47929.0,47973.0,47999.0,48023.0,48076.0,48096.0,48121.0,48214.0,48280.0,48408.0,48482.0,48571.0,48590.0,48631.0,48653.0,48708.0,48750.0,48777.0,48802.0,48823.0,48837.0,48869.0,48918.0,48961.0,48996.0,49023.0,49050.0,49082.0,49112.0,49135.0,49185.0,49233.0,49261.0,49311.0,49347.0,49402.0,49439.0,49482.0,49571.0,49625.0,49669.0,49714.0,49759.0,49807.0,49833.0,49951.0,50021.0
5013789,60000.0,60052.0,60088.0,60113.0,60159.0,60194.0,60257.0,60320.0,60365.0,60407.0,60435.0,60468.0,60510.0,60552.0,60583.0,60611.0,60672.0,60694.0,60719.0,60816.0,60850.0,60917.0,60988.0,61074.0,61105.0,61172.0,61192.0,61241.0,61285.0,61314.0,61342.0,61366.0,61381.0,61409.0,61452.0,61489.0,61520.0,61546.0,61572.0,61602.0,61622.0,61637.0,61667.0,61725.0,61759.0,61809.0,61845.0,61909.0,61952.0,62000.0,62100.0,62153.0,62197.0,62233.0,62269.0,62317.0,62343.0,62502.0,62597.0
5013908,26100.0,26464.0,26717.0,26733.0,26762.0,26784.0,26837.0,26896.0,26936.0,26968.0,26989.0,27014.0,27047.0,27077.0,27105.0,27130.0,27185.0,27203.0,27233.0,27290.0,27308.0,27343.0,27372.0,27407.0,27439.0,27509.0,27532.0,27589.0,27614.0,27630.0,27648.0,27663.0,27673.0,27690.0,27716.0,27739.0,27757.0,27777.0,27797.0,27821.0,27841.0,27856.0,27878.0,27916.0,27938.0,27979.0,28008.0,28047.0,28074.0,28130.0,28247.0,28289.0,28324.0,28346.0,28368.0,28427.0,28459.0,28572.0,28639.0
5013910,33300.0,33347.0,33379.0,33410.0,33467.0,33510.0,33576.0,33639.0,33670.0,33729.0,33768.0,33814.0,33874.0,33921.0,33961.0,33997.0,34076.0,34097.0,34117.0,34194.0,34210.0,34241.0,34272.0,34310.0,34324.0,34353.0,34368.0,34406.0,34458.0,34492.0,34519.0,34542.0,34557.0,34580.0,34616.0,34647.0,34674.0,34697.0,34720.0,34747.0,34790.0,34822.0,34913.0,34991.0,35037.0,35078.0,35107.0,35149.0,35177.0,35197.0,35238.0,35274.0,35304.0,35335.0,35365.0,35408.0,35431.0,35517.0,35568.0
5014677,61800.0,61852.0,61888.0,61913.0,61959.0,61994.0,62057.0,62120.0,62165.0,62207.0,62235.0,62268.0,62310.0,62352.0,62383.0,62411.0,62472.0,62494.0,62519.0,62616.0,62650.0,62717.0,62788.0,62874.0,62905.0,62972.0,62992.0,63041.0,63085.0,63114.0,63142.0,63166.0,63181.0,63209.0,63252.0,63289.0,63320.0,63346.0,63372.0,63402.0,63422.0,63437.0,63467.0,63525.0,63559.0,63609.0,63645.0,63709.0,63752.0,63800.0,63900.0,63953.0,63997.0,64033.0,64069.0,64117.0,64143.0,64302.0,64397.0
