tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P
5003258,46800.0,46880.0,46961.0,46999.0,47074.0,47226.0,47285.0,47342.0,47473.0,47622.0,47703.0,47727.0,47862.0,47902.0,47976.0,48027.0,48200.0,48227.0,48307.0,48359.0,48422.0,48464.0,48644.0,48748.0,48785.0,48844.0,48863.0,48906.0,48942.0,48981.0,49056.0,49120.0,49210.0,49252.0,49389.0
5003260,54000.0,54090.0,54181.0,54224.0,54309.0,54478.0,54538.0,54595.0,54726.0,54856.0,54944.0,54971.0,55106.0,55146.0,55220.0,55271.0,55446.0,55472.0,55548.0,55598.0,55658.0,55697.0,55866.0,55963.0,55997.0,56052.0,56072.0,56115.0,56152.0,56191.0,56245.0,56313.0,56408.0,56453.0,56598.0
5003262,64800.0,64890.0,64981.0,65024.0,65109.0,65280.0,65338.0,65393.0,65520.0,65640.0,65732.0,65760.0,65863.0,65893.0,65949.0,65988.0,66120.0,66151.0,66242.0,66301.0,66372.0,66420.0,66501.0,66548.0,66564.0,66590.0,66600.0,66643.0,66680.0,66720.0,66780.0,66838.0,66919.0,66957.0,67080.0
5003264,72900.0,72970.0,73041.0,73074.0,73140.0,73272.0,73316.0,73358.0,73456.0,73552.0,73629.0,73652.0,73743.0,73770.0,73820.0,73854.0,73973.0,73996.0,74064.0,74108.0,74161.0,74197.0,74347.0,74433.0,74463.0,74512.0,74528.0,74567.0,74600.0,74636.0,74695.0,74742.0,74807.0,74838.0,74938.0
5003266,80100.0,80170.0,80241.0,80274.0,80340.0,80472.0,80516.0,80558.0,80656.0,80752.0,80829.0,80852.0,80943.0,80970.0,81020.0,81054.0,81173.0,81196.0,81264.0,81308.0,81361.0,81397.0,81547.0,81633.0,81663.0,81712.0,81728.0,81767.0,81800.0,81836.0,81895.0,81942.0,82007.0,82038.0,82138.0
5004439,23400.0,23467.0,23535.0,23567.0,23630.0,23756.0,23815.0,23871.0,24001.0,24123.0,24192.0,24213.0,24323.0,24356.0,24417.0,24458.0,24600.0,24622.0,24686.0,24728.0,24778.0,24812.0,24987.0,25088.0,25123.0,25180.0,25200.0,25239.0,25273.0,25309.0,25377.0,25437.0,25521.0,25560.0,25688.0
5004441,30600.0,30686.0,30773.0,30814.0,30895.0,31058.0,31130.0,31199.0,31357.0,31522.0,31620.0,31649.0,31783.0,31823.0,31896.0,31946.0,32118.0,32147.0,32233.0,32289.0,32356.0,32402.0,32571.0,32668.0,32702.0,32757.0,32776.0,32823.0,32863.0,32906.0,32975.0,33038.0,33126.0,33167.0,33302.0
5004443,37800.0,37887.0,37974.0,38015.0,38097.0,38261.0,38326.0,38388.0,38529.0,38664.0,38764.0,38794.0,38942.0,38986.0,39067.0,39123.0,39313.0,39342.0,39428.0,39484.0,39552.0,39598.0,39780.0,39885.0,39922.0,39981.0,40001.0,40049.0,40090.0,40134.0,40203.0,40270.0,40363.0,40407.0,40548.0
5004770,43200.0,43280.0,43361.0,43399.0,43474.0,43626.0,43685.0,43742.0,43873.0,44022.0,44103.0,44127.0,44262.0,44302.0,44376.0,44427.0,44600.0,44627.0,44707.0,44759.0,44822.0,44864.0,45044.0,45148.0,45185.0,45244.0,45263.0,45306.0,45342.0,45381.0,45456.0,45520.0,45610.0,45652.0,45789.0
5004776,76500.0,76570.0,76641.0,76674.0,76740.0,76872.0,76916.0,76958.0,77056.0,77152.0,77229.0,77252.0,77343.0,77370.0,77420.0,77454.0,77573.0,77596.0,77664.0,77708.0,77761.0,77797.0,77947.0,78033.0,78063.0,78112.0,78128.0,78167.0,78200.0,78236.0,78295.0,78342.0,78407.0,78438.0,78538.0
5005132,46800.0,46887.0,46974.0,47015.0,47097.0,47261.0,47326.0,47388.0,47529.0,47664.0,47764.0,47794.0,47942.0,47986.0,48067.0,48123.0,48313.0,48342.0,48428.0,48484.0,48552.0,48598.0,48780.0,48885.0,48922.0,48981.0,49001.0,49049.0,49090.0,49134.0,49203.0,49270.0,49363.0,49407.0,49548.0
5005135,60000.0,60102.0,60205.0,60253.0,60349.0,60541.0,60619.0,60694.0,60865.0,61041.0,61132.0,61160.0,61306.0,61349.0,61429.0,61484.0,61672.0,61702.0,61791.0,61849.0,61919.0,61965.0,62152.0,62259.0,62297.0,62358.0,62378.0,62424.0,62463.0,62506.0,62565.0,62630.0,62720.0,62762.0,62901.0
5005138,76500.0,76562.0,76625.0,76654.0,76712.0,76830.0,76878.0,76924.0,77030.0,77117.0,77175.0,77192.0,77278.0,77304.0,77351.0,77383.0,77494.0,77516.0,77580.0,77622.0,77672.0,77706.0,77849.0,77931.0,77960.0,78006.0,78023.0,78059.0,78090.0,78124.0,78184.0,78230.0,78294.0,78324.0,78421.0
5005140,81900.0,81962.0,82025.0,82054.0,82112.0,82230.0,82278.0,82324.0,82430.0,82517.0,82575.0,82592.0,82678.0,82704.0,82751.0,82783.0,82894.0,82916.0,82980.0,83022.0,83072.0,83106.0,83249.0,83331.0,83360.0,83406.0,83423.0,83459.0,83490.0,83524.0,83584.0,83630.0,83694.0,83724.0,83821.0
5005411,31800.0,31886.0,31973.0,32014.0,32095.0,32258.0,32330.0,32399.0,32557.0,32722.0,32820.0,32849.0,32983.0,33023.0,33096.0,33146.0,33318.0,33347.0,33433.0,33489.0,33556.0,33602.0,33771.0,33868.0,33902.0,33957.0,33976.0,34023.0,34063.0,34106.0,34175.0,34238.0,34326.0,34367.0,34502.0
5005413,39600.0,39687.0,39774.0,39815.0,39897.0,40061.0,40126.0,40188.0,40329.0,40464.0,40564.0,40594.0,40742.0,40786.0,40867.0,40923.0,41113.0,41142.0,41228.0,41284.0,41352.0,41398.0,41580.0,41685.0,41722.0,41781.0,41801.0,41849.0,41890.0,41934.0,42003.0,42070.0,42163.0,42207.0,42348.0
5005415,58800.0,58902.0,59005.0,59053.0,59149.0,59341.0,59419.0,59494.0,59665.0,59841.0,59932.0,59960.0,60106.0,60149.0,60229.0,60284.0,60472.0,60502.0,60591.0,60649.0,60719.0,60765.0,60952.0,61059.0,61097.0,61158.0,61178.0,61224.0,61263.0,61306.0,61365.0,61430.0,61520.0,61562.0,61701.0
5005417,66600.0,66676.0,66753.0,66789.0,66861.0,67006.0,67056.0,67104.0,67215.0,67320.0,67392.0,67414.0,67521.0,67553.0,67612.0,67652.0,67790.0,67815.0,67888.0,67936.0,67993.0,68031.0,68186.0,68275.0,68306.0,68356.0,68374.0,68413.0,68446.0,68482.0,68539.0,68594.0,68671.0,68707.0,68826.0
5005753,34200.0,34272.0,34344.0,34378.0,34446.0,34582.0,34656.0,34727.0,34889.0,34999.0,35080.0,35104.0,35242.0,35283.0,35359.0,35411.0,35587.0,35613.0,35691.0,35742.0,35803.0,35844.0,36010.0,36106.0,36140.0,36194.0,36212.0,36254.0,36290.0,36328.0,36401.0,36460.0,36542.0,36581.0,36706.0
5005756,72900.0,72962.0,73025.0,73054.0,73112.0,73230.0,73278.0,73324.0,73430.0,73517.0,73575.0,73592.0,73678.0,73704.0,73751.0,73783.0,73894.0,73916.0,73980.0,74022.0,74072.0,74106.0,74249.0,74331.0,74360.0,74406.0,74423.0,74459.0,74490.0,74524.0,74584.0,74630.0,74694.0,74724.0,74821.0
5005758,78300.0,78362.0,78425.0,78454.0,78512.0,78630.0,78678.0,78724.0,78830.0,78917.0,78975.0,78992.0,79078.0,79104.0,79151.0,79183.0,79294.0,79316.0,79380.0,79422.0,79472.0,79506.0,79649.0,79731.0,79760.0,79806.0,79823.0,79859.0,79890.0,79924.0,79984.0,80030.0,80094.0,80124.0,80221.0
5005760,83700.0,83762.0,83825.0,83854.0,83912.0,84030.0,84078.0,84124.0,84230.0,84317.0,84375.0,84392.0,84478.0,84504.0,84551.0,84583.0,84694.0,84716.0,84780.0,84822.0,84872.0,84906.0,85049.0,85131.0,85160.0,85206.0,85223.0,85259.0,85290.0,85324.0,85384.0,85430.0,85494.0,85524.0,85621.0
5006476,28200.0,28276.0,28352.0,28388.0,28459.0,28601.0,28678.0,28752.0,28921.0,29069.0,29192.0,29229.0,29373.0,29416.0,29495.0,29549.0,29736.0,29764.0,29848.0,29903.0,29969.0,30013.0,30229.0,30353.0,30397.0,30467.0,30491.0,30538.0,30578.0,30620.0,30707.0,30777.0,30874.0,30920.0,31069.0
5006479,52200.0,52293.0,52386.0,52430.0,52517.0,52691.0,52765.0,52836.0,52999.0,53144.0,53296.0,53342.0,53492.0,53537.0,53619.0,53676.0,53869.0,53897.0,53979.0,54033.0,54097.0,54140.0,54317.0,54418.0,54454.0,54511.0,54531.0,54580.0,54622.0,54668.0,54735.0,54802.0,54895.0,54939.0,55080.0
5006481,64800.0,64892.0,64985.0,65029.0,65115.0,65289.0,65362.0,65432.0,65593.0,65742.0,65832.0,65859.0,65989.0,66028.0,66099.0,66148.0,66315.0,66342.0,66421.0,66473.0,66535.0,66577.0,66753.0,66854.0,66890.0,66947.0,66967.0,67010.0,67047.0,67086.0,67153.0,67214.0,67299.0,67339.0,67469.0
5006483,71100.0,71176.0,71253.0,71289.0,71361.0,71506.0,71556.0,71604.0,71715.0,71820.0,71892.0,71914.0,72021.0,72053.0,72112.0,72152.0,72290.0,72315.0,72388.0,72436.0,72493.0,72531.0,72686.0,72775.0,72806.0,72856.0,72874.0,72913.0,72946.0,72982.0,73039.0,73094.0,73171.0,73207.0,73326.0
5007016,27000.0,27076.0,27152.0,27188.0,27259.0,27401.0,27478.0,27552.0,27721.0,27869.0,27992.0,28029.0,28173.0,28216.0,28295.0,28349.0,28536.0,28564.0,28648.0,28703.0,28769.0,28813.0,29029.0,29153.0,29197.0,29267.0,29291.0,29338.0,29378.0,29420.0,29507.0,29577.0,29674.0,29720.0,29869.0
5007018,41400.0,41487.0,41574.0,41615.0,41697.0,41861.0,41926.0,41988.0,42129.0,42264.0,42364.0,42394.0,42542.0,42586.0,42667.0,42723.0,42913.0,42942.0,43028.0,43084.0,43152.0,43198.0,43380.0,43485.0,43522.0,43581.0,43601.0,43649.0,43690.0,43734.0,43803.0,43870.0,43963.0,44007.0,44148.0
5007020,48600.0,48687.0,48774.0,48815.0,48897.0,49061.0,49126.0,49188.0,49329.0,49464.0,49564.0,49594.0,49742.0,49786.0,49867.0,49923.0,50113.0,50142.0,50228.0,50284.0,50352.0,50398.0,50580.0,50685.0,50722.0,50781.0,50801.0,50849.0,50890.0,50934.0,51003.0,51070.0,51163.0,51207.0,51348.0
5007022,63600.0,63692.0,63785.0,63829.0,63915.0,64089.0,64162.0,64232.0,64393.0,64542.0,64632.0,64659.0,64789.0,64828.0,64899.0,64948.0,65115.0,65142.0,65221.0,65273.0,65335.0,65377.0,65553.0,65654.0,65690.0,65747.0,65767.0,65810.0,65847.0,65886.0,65953.0,66014.0,66099.0,66139.0,66269.0
5007025,80100.0,80162.0,80225.0,80254.0,80312.0,80430.0,80478.0,80524.0,80630.0,80717.0,80775.0,80792.0,80878.0,80904.0,80951.0,80983.0,81094.0,81116.0,81180.0,81222.0,81272.0,81306.0,81449.0,81531.0,81560.0,81606.0,81623.0,81659.0,81690.0,81724.0,81784.0,81830.0,81894.0,81924.0,82021.0
5011547,25800.0,25867.0,25935.0,25967.0,26030.0,26156.0,26215.0,26271.0,26401.0,26523.0,26592.0,26613.0,26723.0,26756.0,26817.0,26858.0,27000.0,27022.0,27086.0,27128.0,27178.0,27212.0,27387.0,27488.0,27523.0,27580.0,27600.0,27639.0,27673.0,27709.0,27777.0,27837.0,27921.0,27960.0,28088.0
5011549,33000.0,33086.0,33173.0,33214.0,33295.0,33458.0,33530.0,33599.0,33757.0,33922.0,34020.0,34049.0,34183.0,34223.0,34296.0,34346.0,34518.0,34547.0,34633.0,34689.0,34756.0,34802.0,34971.0,35068.0,35102.0,35157.0,35176.0,35223.0,35263.0,35306.0,35375.0,35438.0,35526.0,35567.0,35702.0
5011551,43200.0,43287.0,43374.0,43415.0,43497.0,43661.0,43726.0,43788.0,43929.0,44064.0,44164.0,44194.0,44342.0,44386.0,44467.0,44523.0,44713.0,44742.0,44828.0,44884.0,44952.0,44998.0,45180.0,45285.0,45322.0,45381.0,45401.0,45449.0,45490.0,45534.0,45603.0,45670.0,45763.0,45807.0,45948.0
5011552,54000.0,54093.0,54186.0,54230.0,54317.0,54491.0,54565.0,54636.0,54799.0,54944.0,55096.0,55142.0,55292.0,55337.0,55419.0,55476.0,55669.0,55697.0,55779.0,55833.0,55897.0,55940.0,56117.0,56218.0,56254.0,56311.0,56331.0,56380.0,56422.0,56468.0,56535.0,56602.0,56695.0,56739.0,56880.0
5012362,29400.0,29476.0,29552.0,29588.0,29659.0,29801.0,29878.0,29952.0,30121.0,30269.0,30392.0,30429.0,30573.0,30616.0,30695.0,30749.0,30936.0,30964.0,31048.0,31103.0,31169.0,31213.0,31429.0,31553.0,31597.0,31667.0,31691.0,31738.0,31778.0,31820.0,31907.0,31977.0,32074.0,32120.0,32269.0
5012364,36000.0,36072.0,36144.0,36178.0,36246.0,36382.0,36456.0,36527.0,36689.0,36799.0,36880.0,36904.0,37042.0,37083.0,37159.0,37211.0,37387.0,37413.0,37491.0,37542.0,37603.0,37644.0,37810.0,37906.0,37940.0,37994.0,38012.0,38054.0,38090.0,38128.0,38201.0,38260.0,38342.0,38381.0,38506.0
5012366,45000.0,45087.0,45174.0,45215.0,45297.0,45461.0,45526.0,45588.0,45729.0,45864.0,45964.0,45994.0,46142.0,46186.0,46267.0,46323.0,46513.0,46542.0,46628.0,46684.0,46752.0,46798.0,46980.0,47085.0,47122.0,47181.0,47201.0,47249.0,47290.0,47334.0,47403.0,47470.0,47563.0,47607.0,47748.0
5012368,55200.0,55293.0,55386.0,55430.0,55517.0,55691.0,55765.0,55836.0,55999.0,56144.0,56296.0,56342.0,56492.0,56537.0,56619.0,56676.0,56869.0,56897.0,56979.0,57033.0,57097.0,57140.0,57317.0,57418.0,57454.0,57511.0,57531.0,57580.0,57622.0,57668.0,57735.0,57802.0,57895.0,57939.0,58080.0
5012370,62400.0,62492.0,62585.0,62629.0,62715.0,62889.0,62962.0,63032.0,63193.0,63342.0,63432.0,63459.0,63589.0,63628.0,63699.0,63748.0,63915.0,63942.0,64021.0,64073.0,64135.0,64177.0,64353.0,64454.0,64490.0,64547.0,64567.0,64610.0,64647.0,64686.0,64753.0,64814.0,64899.0,64939.0,65069.0
5012371,68700.0,68776.0,68853.0,68889.0,68961.0,69106.0,69156.0,69204.0,69315.0,69420.0,69492.0,69514.0,69621.0,69653.0,69712.0,69752.0,69890.0,69915.0,69988.0,70036.0,70093.0,70131.0,70286.0,70375.0,70406.0,70456.0,70474.0,70513.0,70546.0,70582.0,70639.0,70694.0,70771.0,70807.0,70926.0
5012373,74700.0,74762.0,74825.0,74854.0,74912.0,75030.0,75078.0,75124.0,75230.0,75317.0,75375.0,75392.0,75478.0,75504.0,75551.0,75583.0,75694.0,75716.0,75780.0,75822.0,75872.0,75906.0,76049.0,76131.0,76160.0,76206.0,76223.0,76259.0,76290.0,76324.0,76384.0,76430.0,76494.0,76524.0,76621.0
5012551,50400.0,50487.0,50574.0,50615.0,50697.0,50861.0,50926.0,50988.0,51129.0,51264.0,51364.0,51394.0,51542.0,51586.0,51667.0,51723.0,51913.0,51942.0,52028.0,52084.0,52152.0,52198.0,52380.0,52485.0,52522.0,52581.0,52601.0,52649.0,52690.0,52734.0,52803.0,52870.0,52963.0,53007.0,53148.0
5012553,57600.0,57693.0,57786.0,57830.0,57917.0,58091.0,58165.0,58236.0,58399.0,58544.0,58696.0,58742.0,58892.0,58937.0,59019.0,59076.0,59269.0,59297.0,59379.0,59433.0,59497.0,59540.0,59717.0,59818.0,59854.0,59911.0,59931.0,59980.0,60022.0,60068.0,60135.0,60202.0,60295.0,60339.0,60480.0
5015812,81900.0,81957.0,82015.0,82042.0,82096.0,82204.0,82248.0,82290.0,82386.0,82483.0,82548.0,82567.0,82659.0,82686.0,82737.0,82772.0,82891.0,82913.0,82978.0,83021.0,83072.0,83107.0,83262.0,83351.0,83382.0,83432.0,83450.0,83485.0,83515.0,83548.0,83606.0,83651.0,83714.0,83744.0,83841.0
5017406,45000.0,45068.0,45137.0,45169.0,45233.0,45363.0,45419.0,45472.0,45594.0,45706.0,45784.0,45808.0,45918.0,45951.0,46012.0,46054.0,46196.0,46222.0,46297.0,46346.0,46405.0,46445.0,46613.0,46710.0,46744.0,46799.0,46817.0,46860.0,46896.0,46935.0,46997.0,47048.0,47119.0,47152.0,47259.0
5084332,27000.0,27073.0,27146.0,27180.0,27248.0,27386.0,27460.0,27531.0,27694.0,27836.0,27954.0,27990.0,28129.0,28170.0,28246.0,28298.0,28478.0,28505.0,28585.0,28638.0,28701.0,28744.0,28952.0,29071.0,29113.0,29180.0,29204.0,29249.0,29287.0,29328.0,29412.0,29479.0,29573.0,29617.0,29760.0
5084334,41400.0,41483.0,41567.0,41607.0,41685.0,41843.0,41905.0,41964.0,42101.0,42231.0,42327.0,42356.0,42498.0,42540.0,42618.0,42672.0,42855.0,42883.0,42966.0,43020.0,43085.0,43129.0,43304.0,43405.0,43440.0,43497.0,43517.0,43563.0,43602.0,43645.0,43711.0,43775.0,43864.0,43906.0,44043.0
5084336,48600.0,48683.0,48767.0,48807.0,48885.0,49043.0,49105.0,49164.0,49301.0,49431.0,49527.0,49556.0,49698.0,49740.0,49818.0,49872.0,50055.0,50083.0,50166.0,50220.0,50285.0,50329.0,50504.0,50605.0,50640.0,50697.0,50717.0,50763.0,50802.0,50845.0,50911.0,50975.0,51064.0,51106.0,51243.0
5084338,63600.0,63689.0,63778.0,63820.0,63903.0,64070.0,64140.0,64207.0,64362.0,64505.0,64592.0,64618.0,64743.0,64780.0,64849.0,64896.0,65056.0,65082.0,65158.0,65208.0,65268.0,65308.0,65477.0,65574.0,65608.0,65663.0,65683.0,65724.0,65759.0,65797.0,65861.0,65920.0,66002.0,66040.0,66165.0
5084341,80100.0,80160.0,80220.0,80248.0,80304.0,80417.0,80463.0,80507.0,80609.0,80693.0,80748.0,80765.0,80848.0,80873.0,80918.0,80949.0,81055.0,81076.0,81138.0,81178.0,81226.0,81259.0,81397.0,81476.0,81504.0,81549.0,81564.0,81599.0,81629.0,81661.0,81719.0,81763.0,81824.0,81853.0,81947.0
5084599,31800.0,31883.0,31967.0,32006.0,32084.0,32240.0,32309.0,32375.0,32528.0,32687.0,32781.0,32809.0,32937.0,32975.0,33046.0,33094.0,33260.0,33288.0,33371.0,33425.0,33490.0,33533.0,33696.0,33789.0,33822.0,33875.0,33893.0,33938.0,33976.0,34018.0,34084.0,34145.0,34230.0,34270.0,34398.0
5084601,39600.0,39683.0,39767.0,39807.0,39885.0,40043.0,40105.0,40164.0,40301.0,40431.0,40527.0,40556.0,40698.0,40740.0,40818.0,40872.0,41055.0,41083.0,41166.0,41220.0,41285.0,41329.0,41504.0,41605.0,41640.0,41697.0,41717.0,41763.0,41802.0,41845.0,41911.0,41975.0,42064.0,42106.0,42243.0
5084603,58800.0,58898.0,58997.0,59043.0,59135.0,59320.0,59395.0,59467.0,59632.0,59801.0,59889.0,59915.0,60055.0,60097.0,60174.0,60227.0,60407.0,60436.0,60521.0,60577.0,60644.0,60689.0,60868.0,60971.0,61007.0,61065.0,61086.0,61130.0,61168.0,61209.0,61266.0,61328.0,61415.0,61456.0,61589.0
5084605,66600.0,66673.0,66747.0,66782.0,66851.0,66990.0,67038.0,67084.0,67191.0,67292.0,67361.0,67382.0,67485.0,67516.0,67573.0,67612.0,67744.0,67768.0,67838.0,67884.0,67939.0,67976.0,68125.0,68211.0,68241.0,68289.0,68306.0,68344.0,68376.0,68410.0,68465.0,68518.0,68592.0,68627.0,68741.0
5084980,50400.0,50483.0,50567.0,50607.0,50685.0,50843.0,50905.0,50964.0,51101.0,51231.0,51327.0,51356.0,51498.0,51540.0,51618.0,51672.0,51855.0,51883.0,51966.0,52020.0,52085.0,52129.0,52304.0,52405.0,52440.0,52497.0,52517.0,52563.0,52602.0,52645.0,52711.0,52775.0,52864.0,52906.0,53043.0
5084982,57600.0,57689.0,57779.0,57821.0,57904.0,58072.0,58143.0,58211.0,58368.0,58507.0,58653.0,58697.0,58841.0,58884.0,58963.0,59017.0,59204.0,59231.0,59310.0,59362.0,59424.0,59465.0,59635.0,59733.0,59767.0,59822.0,59841.0,59889.0,59930.0,59973.0,60037.0,60101.0,60190.0,60232.0,60369.0
5085534,34200.0,34269.0,34339.0,34372.0,34437.0,34567.0,34638.0,34706.0,34862.0,34968.0,35046.0,35069.0,35201.0,35240.0,35313.0,35363.0,35533.0,35558.0,35633.0,35682.0,35741.0,35780.0,35940.0,36032.0,36064.0,36116.0,36134.0,36174.0,36208.0,36246.0,36316.0,36373.0,36452.0,36489.0,36609.0
5085537,72900.0,72960.0,73020.0,73048.0,73104.0,73217.0,73263.0,73307.0,73409.0,73493.0,73548.0,73565.0,73648.0,73673.0,73718.0,73749.0,73855.0,73876.0,73938.0,73978.0,74026.0,74059.0,74197.0,74276.0,74304.0,74349.0,74364.0,74399.0,74429.0,74461.0,74519.0,74563.0,74624.0,74653.0,74747.0
5085539,78300.0,78360.0,78420.0,78448.0,78504.0,78617.0,78663.0,78707.0,78809.0,78893.0,78948.0,78965.0,79048.0,79073.0,79118.0,79149.0,79255.0,79276.0,79338.0,79378.0,79426.0,79459.0,79597.0,79676.0,79704.0,79749.0,79764.0,79799.0,79829.0,79861.0,79919.0,79963.0,80024.0,80053.0,80147.0
5085541,83700.0,83760.0,83820.0,83848.0,83904.0,84017.0,84063.0,84107.0,84209.0,84293.0,84348.0,84365.0,84448.0,84473.0,84518.0,84549.0,84655.0,84676.0,84738.0,84778.0,84826.0,84859.0,84997.0,85076.0,85104.0,85149.0,85164.0,85199.0,85229.0,85261.0,85319.0,85363.0,85424.0,85453.0,85547.0
5085903,30600.0,30683.0,30767.0,30806.0,30884.0,31040.0,31109.0,31175.0,31328.0,31487.0,31581.0,31609.0,31737.0,31775.0,31846.0,31894.0,32060.0,32088.0,32171.0,32225.0,32290.0,32333.0,32496.0,32589.0,32622.0,32675.0,32693.0,32738.0,32776.0,32818.0,32884.0,32945.0,33030.0,33070.0,33198.0
5085905,37800.0,37883.0,37967.0,38007.0,38085.0,38243.0,38305.0,38364.0,38501.0,38631.0,38727.0,38756.0,38898.0,38940.0,39018.0,39072.0,39255.0,39283.0,39366.0,39420.0,39485.0,39529.0,39704.0,39805.0,39840.0,39897.0,39917.0,39963.0,40002.0,40045.0,40111.0,40175.0,40264.0,40306.0,40443.0
5085907,46800.0,46883.0,46967.0,47007.0,47085.0,47243.0,47305.0,47364.0,47501.0,47631.0,47727.0,47756.0,47898.0,47940.0,48018.0,48072.0,48255.0,48283.0,48366.0,48420.0,48485.0,48529.0,48704.0,48805.0,48840.0,48897.0,48917.0,48963.0,49002.0,49045.0,49111.0,49175.0,49264.0,49306.0,49443.0
5085910,60000.0,60098.0,60197.0,60243.0,60335.0,60520.0,60595.0,60667.0,60832.0,61001.0,61089.0,61115.0,61255.0,61297.0,61374.0,61427.0,61607.0,61636.0,61721.0,61777.0,61844.0,61889.0,62068.0,62171.0,62207.0,62265.0,62286.0,62330.0,62368.0,62409.0,62466.0,62528.0,62615.0,62656.0,62789.0
5085913,76500.0,76560.0,76620.0,76648.0,76704.0,76817.0,76863.0,76907.0,77009.0,77093.0,77148.0,77165.0,77248.0,77273.0,77318.0,77349.0,77455.0,77476.0,77538.0,77578.0,77626.0,77659.0,77797.0,77876.0,77904.0,77949.0,77964.0,77999.0,78029.0,78061.0,78119.0,78163.0,78224.0,78253.0,78347.0
