tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P
5096243,44100.0,44198.0,44244.0,44303.0,44326.0,44374.0,44420.0,44451.0,44476.0,44559.0,44593.0,44631.0,44664.0,44692.0,44742.0,44786.0,44832.0,44890.0,44930.0,44987.0,45070.0,45128.0,45144.0,45200.0,45227.0,45299.0,45352.0,45406.0,45467.0,45488.0,45548.0,45591.0,45634.0,45674.0,45711.0,45761.0,45807.0,45870.0,45907.0,45958.0,46052.0,46133.0,46239.0,46255.0,46354.0,46497.0,46834.0,46953.0,46971.0,46996.0,47079.0,47142.0,47186.0,47240.0,47271.0,47315.0,47341.0,47359.0,47414.0,47468.0,47500.0,47550.0,47575.0,47621.0,47676.0,47731.0,47796.0,47882.0,47931.0,48002.0,48035.0,48118.0,48172.0,48222.0,48292.0
5096245,55800.0,55926.0,55975.0,56036.0,56072.0,56148.0,56223.0,56254.0,56279.0,56361.0,56392.0,56427.0,56457.0,56481.0,56523.0,56560.0,56599.0,56658.0,56698.0,56757.0,56843.0,56903.0,56920.0,56982.0,57012.0,57090.0,57134.0,57206.0,57287.0,57315.0,57394.0,57451.0,57508.0,57546.0,57581.0,57628.0,57671.0,57729.0,57778.0,57845.0,57948.0,58036.0,58152.0,58170.0,58257.0,58424.0,58816.0,58995.0,59022.0,59066.0,59210.0,59321.0,59381.0,59454.0,59495.0,59554.0,59589.0,59625.0,59735.0,59843.0,59880.0,59938.0,59967.0,60020.0,60084.0,60148.0,60235.0,60350.0,60415.0,60509.0,60553.0,60663.0,60736.0,60790.0,60864.0
5099326,56700.0,56826.0,56875.0,56936.0,56972.0,57048.0,57123.0,57154.0,57179.0,57261.0,57292.0,57327.0,57357.0,57381.0,57423.0,57460.0,57499.0,57558.0,57598.0,57657.0,57743.0,57803.0,57820.0,57882.0,57912.0,57990.0,58034.0,58106.0,58187.0,58215.0,58294.0,58351.0,58408.0,58446.0,58481.0,58528.0,58571.0,58629.0,58678.0,58745.0,58848.0,58936.0,59052.0,59070.0,59157.0,59324.0,59716.0,59895.0,59922.0,59966.0,60110.0,60221.0,60281.0,60354.0,60395.0,60454.0,60489.0,60525.0,60635.0,60743.0,60780.0,60838.0,60867.0,60920.0,60984.0,61048.0,61135.0,61250.0,61315.0,61409.0,61453.0,61563.0,61636.0,61690.0,61764.0
5099328,69600.0,69709.0,69761.0,69826.0,69850.0,69901.0,69951.0,69981.0,70005.0,70086.0,70117.0,70152.0,70182.0,70207.0,70251.0,70289.0,70329.0,70390.0,70428.0,70482.0,70561.0,70616.0,70631.0,70682.0,70707.0,70774.0,70818.0,70872.0,70933.0,70954.0,71013.0,71056.0,71098.0,71135.0,71169.0,71220.0,71267.0,71331.0,71368.0,71419.0,71507.0,71583.0,71683.0,71699.0,71820.0,71957.0,72280.0,72387.0,72403.0,72430.0,72518.0,72586.0,72636.0,72697.0,72730.0,72777.0,72806.0,72824.0,72878.0,72931.0,72961.0,73009.0,73034.0,73079.0,73134.0,73189.0,73250.0,73331.0,73376.0,73442.0,73473.0,73550.0,73601.0,73648.0,73714.0
5101612,28800.0,28872.0,28909.0,28956.0,28996.0,29080.0,29161.0,29197.0,29226.0,29321.0,29364.0,29412.0,29454.0,29489.0,29552.0,29608.0,29666.0,29729.0,29778.0,29864.0,29991.0,30080.0,30101.0,30176.0,30211.0,30301.0,30364.0,30462.0,30572.0,30611.0,30719.0,30797.0,30874.0,30927.0,30977.0,31041.0,31099.0,31178.0,31253.0,31358.0,31481.0,31586.0,31725.0,31747.0,31850.0,32022.0,32427.0,32659.0,32695.0,32723.0,32814.0,32884.0,32935.0,32997.0,33024.0,33063.0,33087.0,33106.0,33164.0,33220.0,33246.0,33287.0,33308.0,33348.0,33396.0,33444.0,33495.0,33562.0,33600.0,33655.0,33681.0,33745.0,33786.0,33857.0,33956.0
5101614,41700.0,41798.0,41844.0,41903.0,41926.0,41974.0,42020.0,42051.0,42076.0,42159.0,42193.0,42231.0,42264.0,42292.0,42342.0,42386.0,42432.0,42490.0,42530.0,42587.0,42670.0,42728.0,42744.0,42800.0,42827.0,42899.0,42952.0,43006.0,43067.0,43088.0,43148.0,43191.0,43234.0,43274.0,43311.0,43361.0,43407.0,43470.0,43507.0,43558.0,43652.0,43733.0,43839.0,43855.0,43954.0,44097.0,44434.0,44553.0,44571.0,44596.0,44679.0,44742.0,44786.0,44840.0,44871.0,44915.0,44941.0,44959.0,45014.0,45068.0,45100.0,45150.0,45175.0,45221.0,45276.0,45331.0,45396.0,45482.0,45531.0,45602.0,45635.0,45718.0,45772.0,45822.0,45892.0
5101616,53700.0,53820.0,53870.0,53933.0,53959.0,54013.0,54066.0,54098.0,54123.0,54209.0,54246.0,54288.0,54324.0,54354.0,54404.0,54448.0,54495.0,54557.0,54605.0,54664.0,54750.0,54811.0,54827.0,54883.0,54911.0,54983.0,55030.0,55087.0,55151.0,55174.0,55237.0,55283.0,55327.0,55366.0,55402.0,55454.0,55501.0,55565.0,55605.0,55661.0,55746.0,55819.0,55915.0,55930.0,56048.0,56176.0,56475.0,56594.0,56612.0,56642.0,56742.0,56818.0,56873.0,56941.0,56979.0,57033.0,57065.0,57094.0,57183.0,57270.0,57305.0,57361.0,57390.0,57442.0,57505.0,57567.0,57664.0,57792.0,57864.0,57969.0,58018.0,58141.0,58224.0,58283.0,58364.0
5101618,66600.0,66709.0,66761.0,66826.0,66850.0,66901.0,66951.0,66981.0,67005.0,67086.0,67117.0,67152.0,67182.0,67207.0,67251.0,67289.0,67329.0,67390.0,67428.0,67482.0,67561.0,67616.0,67631.0,67682.0,67707.0,67774.0,67818.0,67872.0,67933.0,67954.0,68013.0,68056.0,68098.0,68135.0,68169.0,68220.0,68267.0,68331.0,68368.0,68419.0,68507.0,68583.0,68683.0,68699.0,68820.0,68957.0,69280.0,69387.0,69403.0,69430.0,69518.0,69586.0,69636.0,69697.0,69730.0,69777.0,69806.0,69824.0,69878.0,69931.0,69961.0,70009.0,70034.0,70079.0,70134.0,70189.0,70250.0,70331.0,70376.0,70442.0,70473.0,70550.0,70601.0,70648.0,70714.0
5102006,27900.0,27972.0,28009.0,28056.0,28096.0,28180.0,28261.0,28297.0,28326.0,28421.0,28464.0,28512.0,28554.0,28589.0,28652.0,28708.0,28766.0,28829.0,28878.0,28964.0,29091.0,29180.0,29201.0,29276.0,29311.0,29401.0,29464.0,29562.0,29672.0,29711.0,29819.0,29897.0,29974.0,30027.0,30077.0,30141.0,30199.0,30278.0,30353.0,30458.0,30581.0,30686.0,30825.0,30847.0,30950.0,31122.0,31527.0,31759.0,31795.0,31823.0,31914.0,31984.0,32035.0,32097.0,32124.0,32163.0,32187.0,32206.0,32264.0,32320.0,32346.0,32387.0,32408.0,32448.0,32496.0,32544.0,32595.0,32662.0,32700.0,32755.0,32781.0,32845.0,32886.0,32957.0,33056.0
5102009,52500.0,52620.0,52670.0,52733.0,52759.0,52813.0,52866.0,52898.0,52923.0,53009.0,53046.0,53088.0,53124.0,53154.0,53204.0,53248.0,53295.0,53357.0,53405.0,53464.0,53550.0,53611.0,53627.0,53683.0,53711.0,53783.0,53830.0,53887.0,53951.0,53974.0,54037.0,54083.0,54127.0,54166.0,54202.0,54254.0,54301.0,54365.0,54405.0,54461.0,54546.0,54619.0,54715.0,54730.0,54848.0,54976.0,55275.0,55394.0,55412.0,55442.0,55542.0,55618.0,55673.0,55741.0,55779.0,55833.0,55865.0,55894.0,55983.0,56070.0,56105.0,56161.0,56190.0,56242.0,56305.0,56367.0,56464.0,56592.0,56664.0,56769.0,56818.0,56941.0,57024.0,57083.0,57164.0
