tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
5099096,29400.0,29523.0,29571.0,29639.0,29802.0,29872.0,29904.0,30004.0,30046.0,30092.0,30144.0,30217.0,30290.0,30337.0,30382.0,30453.0,30524.0,30586.0,30648.0,30719.0,30776.0,30830.0,30879.0,30931.0,30986.0,31036.0,31099.0,31152.0,31180.0,31246.0,31269.0,31310.0,31411.0,31442.0,31479.0,31625.0,31664.0,31813.0,31865.0,31894.0,31951.0,32037.0,32100.0,32174.0,32297.0,32369.0,32397.0,32418.0,32485.0,32587.0,32641.0,32685.0,32734.0,32784.0,32831.0,32888.0,32930.0,33022.0,33124.0,33162.0,33215.0
5099098,56100.0,56193.0,56229.0,56280.0,56456.0,56554.0,56599.0,56691.0,56730.0,56792.0,56864.0,56963.0,57056.0,57115.0,57172.0,57253.0,57491.0,57699.0,57778.0,57870.0,57943.0,58012.0,58062.0,58115.0,58179.0,58238.0,58312.0,58363.0,58389.0,58452.0,58474.0,58511.0,58601.0,58629.0,58662.0,58801.0,58842.0,58995.0,59050.0,59081.0,59142.0,59233.0,59307.0,59395.0,59540.0,59623.0,59655.0,59679.0,59758.0,59889.0,59982.0,60046.0,60118.0,60191.0,60246.0,60312.0,60360.0,60497.0,60648.0,60682.0,60731.0
5099163,31200.0,31323.0,31371.0,31439.0,31602.0,31672.0,31704.0,31804.0,31846.0,31892.0,31944.0,32017.0,32090.0,32137.0,32182.0,32253.0,32324.0,32386.0,32448.0,32519.0,32576.0,32630.0,32679.0,32731.0,32786.0,32836.0,32899.0,32952.0,32980.0,33046.0,33069.0,33110.0,33211.0,33242.0,33279.0,33425.0,33464.0,33613.0,33665.0,33694.0,33751.0,33837.0,33900.0,33974.0,34097.0,34169.0,34197.0,34218.0,34285.0,34387.0,34441.0,34485.0,34534.0,34584.0,34631.0,34688.0,34730.0,34822.0,34924.0,34962.0,35015.0
5099166,50700.0,50784.0,50817.0,50863.0,51002.0,51074.0,51107.0,51187.0,51221.0,51264.0,51313.0,51382.0,51448.0,51490.0,51531.0,51607.0,51754.0,51882.0,51947.0,52023.0,52083.0,52140.0,52195.0,52253.0,52323.0,52388.0,52469.0,52521.0,52548.0,52612.0,52634.0,52675.0,52774.0,52805.0,52841.0,52930.0,52965.0,53096.0,53158.0,53193.0,53261.0,53362.0,53428.0,53506.0,53635.0,53725.0,53760.0,53786.0,53870.0,54000.0,54072.0,54122.0,54178.0,54235.0,54290.0,54357.0,54406.0,54504.0,54611.0,54641.0,54684.0
5099168,66300.0,66393.0,66429.0,66480.0,66656.0,66754.0,66799.0,66891.0,66930.0,66992.0,67064.0,67163.0,67256.0,67315.0,67372.0,67453.0,67691.0,67899.0,67978.0,68070.0,68143.0,68212.0,68262.0,68315.0,68379.0,68438.0,68512.0,68563.0,68589.0,68652.0,68674.0,68711.0,68801.0,68829.0,68862.0,69001.0,69042.0,69195.0,69250.0,69281.0,69342.0,69433.0,69507.0,69595.0,69740.0,69823.0,69855.0,69879.0,69958.0,70089.0,70182.0,70246.0,70318.0,70391.0,70446.0,70512.0,70560.0,70697.0,70848.0,70882.0,70931.0
5099447,26100.0,26176.0,26206.0,26248.0,26363.0,26420.0,26446.0,26497.0,26518.0,26551.0,26589.0,26643.0,26697.0,26731.0,26765.0,26828.0,26894.0,26952.0,27010.0,27077.0,27131.0,27182.0,27216.0,27251.0,27291.0,27327.0,27373.0,27417.0,27440.0,27494.0,27513.0,27543.0,27617.0,27640.0,27668.0,27791.0,27827.0,27965.0,28011.0,28037.0,28087.0,28161.0,28210.0,28269.0,28366.0,28425.0,28448.0,28465.0,28521.0,28583.0,28630.0,28669.0,28713.0,28757.0,28814.0,28882.0,28932.0,29041.0,29160.0,29186.0,29223.0
5099449,41700.0,41784.0,41817.0,41864.0,41984.0,42069.0,42108.0,42179.0,42208.0,42247.0,42292.0,42353.0,42417.0,42457.0,42496.0,42559.0,42655.0,42739.0,42796.0,42862.0,42915.0,42965.0,42996.0,43028.0,43081.0,43130.0,43192.0,43238.0,43262.0,43319.0,43339.0,43376.0,43467.0,43495.0,43529.0,43595.0,43629.0,43757.0,43811.0,43841.0,43900.0,43988.0,44045.0,44113.0,44226.0,44304.0,44334.0,44357.0,44430.0,44550.0,44605.0,44650.0,44701.0,44753.0,44805.0,44868.0,44915.0,44998.0,45089.0,45125.0,45175.0
5100037,24300.0,24376.0,24406.0,24448.0,24563.0,24620.0,24646.0,24697.0,24718.0,24751.0,24789.0,24843.0,24897.0,24931.0,24965.0,25028.0,25094.0,25152.0,25210.0,25277.0,25331.0,25382.0,25416.0,25451.0,25491.0,25527.0,25573.0,25617.0,25640.0,25694.0,25713.0,25743.0,25817.0,25840.0,25868.0,25991.0,26027.0,26165.0,26211.0,26237.0,26287.0,26361.0,26410.0,26469.0,26566.0,26625.0,26648.0,26665.0,26721.0,26783.0,26830.0,26869.0,26913.0,26957.0,27014.0,27082.0,27132.0,27241.0,27360.0,27386.0,27423.0
5100039,36000.0,36084.0,36117.0,36164.0,36284.0,36369.0,36408.0,36479.0,36508.0,36547.0,36592.0,36653.0,36717.0,36757.0,36796.0,36859.0,36955.0,37039.0,37096.0,37162.0,37215.0,37265.0,37296.0,37328.0,37381.0,37430.0,37492.0,37538.0,37562.0,37619.0,37639.0,37676.0,37767.0,37795.0,37829.0,37895.0,37929.0,38057.0,38111.0,38141.0,38200.0,38288.0,38345.0,38413.0,38526.0,38604.0,38634.0,38657.0,38730.0,38850.0,38905.0,38950.0,39001.0,39053.0,39105.0,39168.0,39215.0,39298.0,39389.0,39425.0,39475.0
5100040,45900.0,45984.0,46017.0,46063.0,46202.0,46274.0,46307.0,46387.0,46421.0,46464.0,46513.0,46582.0,46648.0,46690.0,46731.0,46807.0,46954.0,47082.0,47147.0,47223.0,47283.0,47340.0,47395.0,47453.0,47523.0,47588.0,47669.0,47721.0,47748.0,47812.0,47834.0,47875.0,47974.0,48005.0,48041.0,48130.0,48165.0,48296.0,48358.0,48393.0,48461.0,48562.0,48628.0,48706.0,48835.0,48925.0,48960.0,48986.0,49070.0,49200.0,49272.0,49322.0,49378.0,49435.0,49490.0,49557.0,49606.0,49704.0,49811.0,49841.0,49884.0
